Taxonomic_classification,Threat_Reclassified,RefID,Min_Concentration_ppm,Max_Concentration_ppm,Measurement
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Mollusca,Road Salts,180,2.8,10,NaCl
Mollusca,Road Salts,180,2.8,10,NaCl
Mollusca,Road Salts,180,2.8,10,NaCl
Mollusca,Road Salts,180,2.8,10,NaCl
Mollusca,Road Salts,180,2.8,10,NaCl
Mollusca,Road Salts,180,5.5,10,NaCl
Mollusca,Road Salts,180,8.9,10,NaCl
Mollusca,Road Salts,180,2.8,10,NaCl
Mollusca,Road Salts,180,1.8,10,NaCl
Fish,Urban/Indust,183,0.55,1.26,NO3-
Fish,Urban/Indust,183,0.55,1.26,NO3-
Fish,Urban/Indust,183,0.55,1.26,NO3-
Fish,Urban/Indust,183,0.55,1.26,NO3-
Fish,Urban/Indust,183,0.55,1.26,NO3-
Fish,Urban/Indust,183,0.55,1.26,NO3-
Fish,Urban/Indust,183,0.55,1.26,NO3-
Fish,Urban/Indust,183,0.55,1.26,NO3-
Fish,Urban/Indust,183,0.55,1.26,NO3-
Fish,Urban/Indust,183,0.55,1.26,NO3-
Fish,Urban/Indust,183,0.55,1.26,NO3-
Fish,Urban/Indust,183,0.55,1.26,NO3-
Fish,"Tolerance, Mechanistic, Osmoreg",184,0.9239999999999999,2.688,NaHCO3
Fish,"Tolerance, Mechanistic, Osmoreg",184,0.9239999999999999,2.688,NaHCO3
Fish,"Tolerance, Mechanistic, Osmoreg",184,0.9239999999999999,2.688,NaHCO3
Fish,"Tolerance, Mechanistic, Osmoreg",184,2.1142399999999997,5.2856,(NH4)2SO4
Fish,"Tolerance, Mechanistic, Osmoreg",184,2.1142399999999997,5.2856,(NH4)2SO4
Fish,"Tolerance, Mechanistic, Osmoreg",184,2.1142399999999997,5.2856,(NH4)2SO4
Fish,"Tolerance, Mechanistic, Osmoreg",184,2.1142399999999997,5.2856,(NH4)2SO4
Fish,"Tolerance, Mechanistic, Osmoreg",184,2.1142399999999997,5.2856,(NH4)2SO4
Fish,"Tolerance, Mechanistic, Osmoreg",184,2.1142399999999997,5.2856,(NH4)2SO4
Fish,"Tolerance, Mechanistic, Osmoreg",184,2.1142399999999997,5.2856,(NH4)2SO4
Fish,"Tolerance, Mechanistic, Osmoreg",184,2.1142399999999997,5.2856,(NH4)2SO4
Fish,"Tolerance, Mechanistic, Osmoreg",184,2.1142399999999997,5.2856,(NH4)2SO4
Fish,"Tolerance, Mechanistic, Osmoreg",184,2.1142399999999997,5.2856,(NH4)2SO4
Fish,"Tolerance, Mechanistic, Osmoreg",184,1.60184,4.0046,KHCO3
Fish,"Tolerance, Mechanistic, Osmoreg",184,0.9239999999999999,2.688,NaHCO3
Fish,"Tolerance, Mechanistic, Osmoreg",184,2.1142399999999997,5.2856,(NH4)2SO4
Insect,Urban/Indust,186,0,5000,calcium nitrate
Insect,Urban/Indust,186,0,7000,NaCl & Ca(N03)2
Insect,Urban/Indust,186,31,4000,NaCl
Mollusca,Invasive Spp,187,0,180,Ca2+
Mollusca,Invasive Spp,187,0,180,Ca2+
Mollusca,Energy Extraction,188,0.5,5,Ca2+
Mollusca,Energy Extraction,188,0.5,5,Ca2+
Mollusca,Energy Extraction,188,0.5,25,Ca2+
Mollusca,Energy Extraction,188,0.5,25,Ca2+
Mollusca,Anthropogenic: Multiple sources,192,0,24000,Artifical Seawater
Mollusca,Anthropogenic: Multiple sources,192,0,24000,Artifical Seawater
