DataID,RefID,Reviewer,Focal: Salt/Ion type (if known) OR Conductivity,Units for salt concentration_original,Minimum concentration_original,Maximum concentration_original,Rate of change in salt (if applicaple),Temperature (C),TempSingleValue/Min,TempMax,Measurement,MeasurementNotes,TempNotes,TempPlusMinus
169,320,Carl,NaCl,g NaCl/L,0.25,8,NA,NA,NA,NA,NaCl,NA,NA,NA
170,320,Carl,NaCl,g NaCl/L,0.25,8,NA,NA,NA,NA,NaCl,NA,NA,NA
171,320,Carl,NaCl,g NaCl/L,0.25,8,NA,NA,NA,NA,NaCl,NA,NA,NA
172,320,Carl,NaCl,g NaCl/L,0.25,8,NA,NA,NA,NA,NaCl,NA,NA,NA
173,320,Carl,NaCl,g NaCl/L,0.5,8,NA,NA,NA,NA,NaCl,NA,NA,NA
174,320,Carl,NaCl,g NaCl/L,0.25,8,NA,NA,NA,NA,NaCl,NA,NA,NA
175,320,Carl,NaCl,g NaCl/L,0.25,8,NA,NA,NA,NA,NaCl,NA,NA,NA
176,320,Carl,NaCl,g NaCl/L,0.25,8,NA,NA,NA,NA,NaCl,NA,NA,NA
177,320,Carl,NaCl,g NaCl/L,0.25,8,NA,NA,NA,NA,NaCl,NA,NA,NA
178,320,Carl,NaCl,g NaCl/L,0.5,8,NA,NA,NA,NA,NaCl,NA,NA,NA
179,321,Carl,NaCl,g NaCl/L,0.1,8,NA,NA,NA,NA,NaCl,NA,NA,NA
180,321,Carl,NaCl,g NaCl/L,0.1,8,NA,NA,NA,NA,NaCl,NA,NA,NA
181,321,Carl,NaCl,g NaCl/L,0.1,8,NA,NA,NA,NA,NaCl,NA,NA,NA
182,321,Carl,NaCl,g NaCl/L,0.1,8,NA,NA,NA,NA,NaCl,NA,NA,NA
183,436,Rich,sodium chloride,g/L,0.14,5.6,sudden,22,22,NA,NaCl,NA,NA,NA
184,436,Rich,sodium chloride,g/L,0.14,5.6,sudden,22,22,NA,NaCl,NA,NA,NA
185,436,Rich,sodium chloride,g/L,0.14,5.6,sudden,22,22,NA,NaCl,NA,NA,NA
186,443,Rich,sodium chloride,g/L,0.14,5.25,5% sw per day,21,21,NA,NaCl,NA,NA,NA
187,443,Rich,sodium chloride,g/L,0.14,5.25,5% sw per day,21,21,NA,NaCl,NA,NA,NA
188,443,Rich,sodium chloride,g/L,0.14,5.25,5% sw per day,21,21,NA,NaCl,NA,NA,NA
189,467,Rich,salinity,g/L,0,12,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
190,467,Rich,salinity,g/L,0,12,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
191,467,Rich,salinity,g/L,0,12,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
192,467,Rich,salinity,g/L,0,12,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
193,467,Rich,salinity,g/L,0,8,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
194,467,Rich,salinity,g/L,0,8,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
195,467,Rich,salinity,g/L,0,8,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
196,467,Rich,salinity,g/L,0,8,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
197,467,Rich,salinity,g/L,0,8,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
198,467,Rich,salinity,g/L,0,12,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
199,467,Rich,salinity,g/L,0,8,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
200,467,Rich,salinity,g/L,0,8,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
201,467,Rich,salinity,g/L,0,8,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
202,467,Rich,salinity,g/L,0,8,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
203,467,Rich,salinity,g/L,0,8,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
204,467,Rich,salinity,g/L,0,8,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
205,467,Rich,salinity,g/L,0,8,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
206,467,Rich,salinity,g/L,0,8,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
207,467,Rich,salinity,g/L,0,8,NA,20 - 24,20 , 24,Salinity,NA,NA,NA
208,558,Rich,NaCl,g/L,0.7,2,NA,NA,NA,NA,NaCl,NA,NA,NA
209,558,Rich,NaCl,g/L,0.7,2,NA,NA,NA,NA,NaCl,NA,NA,NA
210,558,Rich,NaCl,g/L,0.7,2,NA,NA,NA,NA,NaCl,NA,NA,NA
211,558,Rich,MgCl,g/L,0.7,2,NA,NA,NA,NA,MgCl2,NA,NA,NA
212,558,Rich,MgCl,g/L,0.7,2,NA,NA,NA,NA,MgCl2,NA,NA,NA
213,558,Rich,MgCl,g/L,0.7,2,NA,NA,NA,NA,MgCl2,NA,NA,NA
214,558,Rich,NaCl,g/L,0.7,2,NA,NA,NA,NA,NaCl,NA,NA,NA
215,558,Rich,NaCl,g/L,0.7,2,NA,NA,NA,NA,NaCl,NA,NA,NA
216,558,Rich,NaCl,g/L,0.7,2,NA,NA,NA,NA,NaCl,NA,NA,NA
217,558,Rich,MgCl,g/L,0.7,2,NA,NA,NA,NA,MgCl2,NA,NA,NA
218,558,Rich,MgCl,g/L,0.7,2,NA,NA,NA,NA,MgCl2,NA,NA,NA
219,558,Rich,MgCl,g/L,0.7,2,NA,NA,NA,NA,MgCl2,NA,NA,NA
220,559,Rich,MgCl,g/L,0.7,2,NA,NA,NA,NA,MgCl2,NA,NA,NA
221,559,Rich,NaCl,g/L,0.7,2,NA,NA,NA,NA,NaCl,NA,NA,NA
222,559,Rich,MgCl,g/L,0.7,2,NA,NA,NA,NA,MgCl2,NA,NA,NA
223,559,Rich,NaCl,g/L,0.7,2,NA,NA,NA,NA,NaCl,NA,NA,NA
224,559,Rich,MgCl,g/L,0.7,2,NA,NA,NA,NA,MgCl2,NA,NA,NA
225,559,Rich,NaCl,g/L,0.7,2,NA,NA,NA,NA,NaCl,NA,NA,NA
226,559,Rich,MgCl,g/L,0.7,2,NA,NA,NA,NA,MgCl2,NA,NA,NA
227,559,Rich,NaCl,g/L,0.7,2,NA,NA,NA,NA,NaCl,NA,NA,NA
228,560,Rich,NaCl,g/L,0.7,2,NA,7,7,NA,NaCl,NA,NA,NA
229,560,Rich,MgCl,g/L,0.7,2,NA,7,7,NA,MgCl2,NA,NA,NA
230,560,Rich,NaCl,g/L,0.7,2,NA,7,7,NA,NaCl,NA,NA,NA
231,560,Rich,NaCl,g/L,0.7,2,NA,7,7,NA,NaCl,NA,NA,NA
232,560,Rich,NaCl,g/L,0.7,2,NA,7,7,NA,NaCl,NA,NA,NA
233,560,Rich,MgCl,g/L,0.7,2,NA,7,7,NA,MgCl2,NA,NA,NA
234,560,Rich,MgCl,g/L,0.7,2,NA,7,7,NA,MgCl2,NA,NA,NA
235,560,Rich,MgCl,g/L,0.7,2,NA,7,7,NA,MgCl2,NA,NA,NA
236,554,Rich,sodium chloride,g/L,0,12,sudden,19.4–21.88,19.4–21.88,NA,NaCl,NA,NA,NA
237,554,Rich,calcium chloride,g/L,0,12,sudden,19.4–21.88,19.4–21.88,NA,CaCl2,NA,NA,NA
238,554,Rich,magnesium chloride,g/L,0,12,sudden,19.4–21.88,19.4–21.88,NA,MgCl2,NA,NA,NA
239,554,Rich,potassium acetate,g/L,0,12,sudden,19.4–21.88,19.4–21.88,NA,potassium acetate,NA,NA,NA
240,554,Rich,calcium magnesium acetate,g/L,0,12,sudden,19.4–21.88,19.4–21.88,NA,calcium magnesium acetate,NA,NA,NA
241,554,Rich,sodium chloride,g/L,0,12,sudden,19.4–21.88,19.4–21.88,NA,NaCl,NA,NA,NA
242,554,Rich,calcium chloride,g/L,0,12,sudden,19.4–21.88,19.4–21.88,NA,CaCl2,NA,NA,NA
243,554,Rich,magnesium chloride,g/L,0,12,sudden,19.4–21.88,19.4–21.88,NA,MgCl2,NA,NA,NA
244,554,Rich,potassium acetate,g/L,0,12,sudden,19.4–21.88,19.4–21.88,NA,potassium acetate,NA,NA,NA
245,554,Rich,calcium magnesium acetate,g/L,0,12,sudden,19.4–21.88,19.4–21.88,NA,calcium magnesium acetate,NA,NA,NA
246,545,Joshua,NaHCO3,g/L,0,60,NA,20 ± 1,20 ,NA,NaHCO3,NA,NA, 1
247,545,Joshua,NaHCO3,g/L,0,60,NA,20 ± 1,20 ,NA,NaHCO3,NA,NA, 1
248,545,Joshua,Synthetic marine salts,g/L,0,60,NA,20 ± 1,20 ,NA,Synthetic marine salts,NA,NA, 1
249,545,Joshua,Synthetic marine salts,g/L,0,60,NA,20 ± 1,20 ,NA,Synthetic marine salts,NA,NA, 1
250,140,Rich,salinity,g/L,2.5,20,NA,27,27,NA,Salinity,NA,NA,NA
251,140,Rich,salinity,g/L,2.5,20,NA,27,27,NA,Salinity,NA,NA,NA
252,140,Rich,salinity,g/L,2.5,20,NA,27,27,NA,Salinity,NA,NA,NA
253,172,Rich,salinity,g/L,0.3,15,NA,NA,NA,NA,Salinity,NA,NA,NA
